rule	support	confidence	lift
('Italy', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"')	0.011	1.000	89.739
('Veneto', '"Corvina', 'Italy') ==> (' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'Italy', 'NoRegion_2') ==> ('"Corvina',)	0.011	1.000	89.739
('Veneto', 'Italy', '"Corvina', 'NoRegion_2') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('NoRegion_2', ' Rondinella', '"Corvina', 'Veneto', 'Italy')	0.011	1.000	89.739
('"Corvina',) ==> (' Molinara"', 'NoRegion_2', ' Rondinella', 'Veneto', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'NoRegion_2') ==> ('Veneto', ' Rondinella', '"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', ' Rondinella') ==> ('Veneto', 'Italy', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Molinara"') ==> (' Rondinella', 'Italy', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> ('Veneto', ' Rondinella', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"', ' Rondinella', 'Italy')	0.011	1.000	89.739
(' Rondinella', '"Corvina') ==> ('Veneto', ' Molinara"', 'Italy', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', '"Corvina') ==> (' Molinara"', 'Italy', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina', 'Italy') ==> ('Veneto', ' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('Veneto', '"Corvina', 'Italy')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'NoRegion_2') ==> (' Rondinella', '"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy', 'NoRegion_2') ==> ('Veneto', ' Rondinella', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Molinara"', ' Rondinella') ==> ('Italy', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', ' Rondinella', 'Italy') ==> ('Veneto', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'Italy') ==> (' Rondinella', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Rondinella', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"', 'Italy')	0.011	1.000	89.739
('Veneto', '"Corvina', 'NoRegion_2') ==> (' Molinara"', ' Rondinella', 'Italy')	0.011	1.000	89.739
('Italy', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"', ' Rondinella')	0.011	1.000	89.739
('Veneto', ' Rondinella', '"Corvina') ==> (' Molinara"', 'Italy', 'NoRegion_2')	0.011	1.000	89.739
(' Rondinella', '"Corvina', 'Italy') ==> ('Veneto', ' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', '"Corvina', 'Italy') ==> (' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy', ' Rondinella', 'NoRegion_2') ==> ('Veneto', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'Italy', 'NoRegion_2') ==> (' Rondinella', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Molinara"', ' Rondinella', 'Italy') ==> ('"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Rondinella', '"Corvina', 'NoRegion_2') ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
(' Rondinella', 'Italy', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"')	0.011	1.000	89.739
('Veneto', 'Italy', '"Corvina', 'NoRegion_2') ==> (' Molinara"', ' Rondinella')	0.011	1.000	89.739
('Veneto', ' Rondinella', '"Corvina', 'Italy') ==> (' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'NoRegion_2', ' Rondinella', 'Veneto', 'Italy') ==> ('"Corvina',)	0.011	1.000	89.739
('NoRegion_2', ' Rondinella', '"Corvina', 'Veneto', 'Italy') ==> (' Molinara"',)	0.011	1.000	89.739
('"Corvina',) ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> (' Rondinella',)	0.011	1.000	89.526
('"Corvina',) ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', '"Corvina') ==> (' Rondinella',)	0.011	1.000	89.526
('"Corvina',) ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('"Corvina', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
('"Corvina',) ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
('"Corvina', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> ('Veneto', ' Rondinella', 'Italy')	0.011	1.000	89.526
('Veneto', ' Molinara"') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', 'Italy') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
('"Corvina',) ==> ('NoRegion_2', ' Rondinella', 'Italy')	0.011	1.000	89.526
('"Corvina', 'Italy') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('"Corvina', 'NoRegion_2') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
('NoRegion_2', '"Corvina', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
('"Corvina',) ==> ('Veneto', ' Rondinella', 'Italy')	0.011	1.000	89.526
('Veneto', '"Corvina') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
('"Corvina', 'Italy') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', '"Corvina', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> ('Veneto', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', ' Molinara"') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', 'NoRegion_2') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> ('NoRegion_2', ' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', 'Italy') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', 'NoRegion_2') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
('NoRegion_2', ' Molinara"', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
('"Corvina',) ==> ('Veneto', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', '"Corvina') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('"Corvina', 'NoRegion_2') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', '"Corvina', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> ('Veneto', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> (' Rondinella', 'Italy', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'NoRegion_2') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'Italy') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', 'Italy', '"Corvina', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> ('Veneto', ' Rondinella', 'Italy')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'Italy') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"',) ==> ('Veneto', ' Rondinella', 'Italy', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', 'NoRegion_2') ==> ('Veneto', ' Rondinella', 'Italy')	0.011	1.000	89.526
('Veneto', ' Molinara"') ==> (' Rondinella', 'Italy', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', 'Italy') ==> ('Veneto', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', ' Molinara"', 'NoRegion_2') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', 'Italy', 'NoRegion_2') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"', 'Italy') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', ' Molinara"', 'Italy', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
('"Corvina',) ==> ('Veneto', ' Rondinella', 'Italy', 'NoRegion_2')	0.011	1.000	89.526
('"Corvina', 'NoRegion_2') ==> ('Veneto', ' Rondinella', 'Italy')	0.011	1.000	89.526
('Veneto', '"Corvina') ==> (' Rondinella', 'Italy', 'NoRegion_2')	0.011	1.000	89.526
('"Corvina', 'Italy') ==> ('Veneto', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', '"Corvina', 'NoRegion_2') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
('Italy', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', '"Corvina', 'Italy') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', 'Italy', '"Corvina', 'NoRegion_2') ==> (' Rondinella',)	0.011	1.000	89.526
(' Molinara"', '"Corvina') ==> ('Veneto', ' Rondinella', 'Italy', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Rondinella', 'Italy')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina') ==> (' Rondinella', 'Italy', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', '"Corvina', 'Italy') ==> ('Veneto', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina', 'NoRegion_2') ==> (' Rondinella', 'Italy')	0.011	1.000	89.526
(' Molinara"', 'Italy', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Rondinella')	0.011	1.000	89.526
('Veneto', ' Molinara"', '"Corvina', 'Italy') ==> (' Rondinella', 'NoRegion_2')	0.011	1.000	89.526
(' Molinara"', 'NoRegion_2', '"Corvina', 'Veneto', 'Italy') ==> (' Rondinella',)	0.011	1.000	89.526
(' Rondinella',) ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> ('"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> ('"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', ' Molinara"')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', ' Molinara"', 'Italy')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('Veneto', ' Molinara"')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy') ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> ('NoRegion_2', '"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('"Corvina', 'Italy')	0.011	0.998	89.526
('NoRegion_2', ' Rondinella', 'Italy') ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', '"Corvina', 'Italy')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> ('"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('Veneto', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy') ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', ' Molinara"', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('Veneto', ' Molinara"')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'NoRegion_2') ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"', '"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
(' Rondinella',) ==> ('NoRegion_2', ' Molinara"', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> (' Molinara"', 'NoRegion_2')	0.011	0.998	89.526
